iter	Passed	Remaining
828	1359	280
829	1361	278
830	1363	277
831	1365	275
832	1367	274
833	1369	272
834	1371	270
835	1373	269
836	1375	267
837	1377	266
838	1378	264
839	1380	263
840	1382	261
841	1384	259
842	1386	258
843	1388	256
844	1390	255
845	1392	253
846	1395	252
847	1398	250
848	1400	249
849	1402	247
850	1404	245
851	1406	244
852	1408	242
853	1409	241
854	1411	239
855	1413	237
856	1414	236
857	1416	234
858	1418	232
859	1420	231
860	1422	229
861	1424	228
862	1426	226
863	1428	224
864	1430	223
865	1432	221
866	1434	220
867	1436	218
868	1438	216
869	1439	215
870	1441	213
871	1442	211
872	1444	210
873	1446	208
874	1447	206
875	1449	205
876	1451	203
877	1452	201
878	1454	200
879	1456	198
880	1457	196
881	1459	195
882	1461	193
883	1463	191
884	1464	190
885	1466	188
886	1467	186
887	1469	185
888	1471	183
889	1472	182
890	1474	180
891	1475	178
892	1477	177
893	1478	175
894	1480	173
895	1481	172
896	1483	170
897	1485	168
898	1486	167
899	1488	165
900	1490	163
901	1492	162
902	1493	160
903	1495	158
904	1496	157
905	1498	155
906	1499	153
907	1501	152
908	1503	150
909	1504	148
910	1506	147
911	1507	145
912	1509	143
913	1511	142
914	1512	140
915	1514	138
916	1515	137
917	1517	135
918	1518	133
919	1520	132
920	1521	130
921	1523	128
922	1524	127
923	1526	125
924	1527	123
925	1529	122
926	1530	120
927	1532	118
928	1533	117
929	1535	115
930	1537	113
931	1539	112
932	1540	110
933	1542	108
934	1543	107
935	1545	105
936	1546	104
937	1548	102
938	1550	100
939	1551	99
940	1553	97
941	1554	95
942	1556	94
943	1558	92
944	1559	90
945	1561	89
946	1562	87
947	1564	85
948	1565	84
949	1567	82
950	1569	80
951	1570	79
952	1572	77
953	1573	75
954	1575	74
955	1577	72
956	1578	70
957	1580	69
958	1581	67
959	1583	65
960	1584	64
961	1586	62
962	1587	61
963	1589	59
964	1590	57
965	1592	56
966	1593	54
967	1595	52
968	1596	51
969	1598	49
970	1599	47
971	1601	46
972	1602	44
973	1604	42
974	1606	41
975	1607	39
976	1609	37
977	1610	36
978	1611	34
979	1613	32
980	1615	31
981	1616	29
982	1618	27
983	1619	26
984	1621	24
985	1622	23
986	1624	21
987	1626	19
988	1627	18
989	1629	16
990	1630	14
991	1632	13
992	1633	11
993	1635	9
994	1636	8
995	1638	6
996	1639	4
997	1641	3
998	1643	1
999	1644	0
